source identifier	source name	target prefix	target identifier	target name	confidence
orphanet.ordo:488191	Female infertility due to oocyte meiotic arrest	mondo	mondo:0044626	female infertility due to oocyte meiotic arrest	0.87
orphanet.ordo:405	Familial hypocalciuric hypercalcemia	mondo	mondo:0018458	familial hypocalciuric hypercalcemia	0.88
mondo:0015341	congenital panfollicular nevus	orphanet.ordo	orphanet.ordo:139414	Congenital panfollicular nevus	0.74
orphanet.ordo:3440	Waardenburg syndrome	mondo	mondo:0018094	Waardenburg syndrome	0.78
orphanet.ordo:469	Hereditary fructose intolerance	ncit	ncit:C84720	Hereditary Fructose Intolerance	0.91
ncit:C61253	Leukodystrophy	orphanet.ordo	orphanet.ordo:68356	Leukodystrophy	0.75
orphanet.ordo:2134	Atypical hemolytic uremic syndrome	mondo	mondo:0016244	atypical hemolytic-uremic syndrome	0.76
orphanet.ordo:411696	Proton-pump inhibitor-responsive esophageal eosinophilia	mondo	mondo:0018468	proton-pump inhibitor-responsive esophageal eosinophilia	0.87
doid:0050914	large intestine adenoma	ncit	ncit:C5673	Colorectal Adenoma	0.99
orphanet.ordo:164726	Acute myeloid leukemia and myelodysplastic syndromes related to radiation	mondo	mondo:0015608	acute myeloid leukemia and myelodysplastic syndromes related to radiation	0.82
mondo:0003414	skin pilomatrix carcinoma	orphanet.ordo	orphanet.ordo:499182	Pilomatrix carcinoma	0.74
orphanet.ordo:2776	Autosomal recessive distal osteolysis syndrome	mondo	mondo:0009810	autosomal recessive distal osteolysis syndrome	0.72
mondo:0010617	male hypergonadotropic hypogonadism-intellectual disability-skeletal anomalies syndrome	orphanet.ordo	orphanet.ordo:2234	Male hypergonadotropic hypogonadism-intellectual disability-skeletal anomalies syndrome	0.87
mondo:0018749	hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome	orphanet.ordo	orphanet.ordo:46532	Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome	0.83
orphanet.ordo:35656	Coenzyme Q10 deficiency	ncit	ncit:C142083	Coenzyme Q10 Deficiency	0.83
orphanet.ordo:86850	Myeloid sarcoma	mondo	mondo:0006861	myeloid sarcoma	0.52
orphanet.ordo:94080	Non-functioning paraganglioma	mondo	mondo:0019788	non-secreting paraganglioma	0.73
mondo:0007032	prune belly syndrome	orphanet.ordo	orphanet.ordo:2970	Prune belly syndrome	0.66
mondo:0043953	burkholderia infectious disease	efo	efo:1001280	Burkholderia Infections	0.79
orphanet.ordo:440233	Congenital abducens nerve palsy	mondo	mondo:0018600	congenital abducens nerve palsy	0.85
orphanet.ordo:445197	Secondary vasculitis	mondo	mondo:0018640	secondary vasculitis	0.82
orphanet.ordo:353356	Vasoproliferative tumor of the retina	mondo	mondo:0018148	vasoproliferative tumor of retina	0.75
orphanet.ordo:99880	Hyperparathyroidism-jaw tumor syndrome	mondo	mondo:0007768	hyperparathyroidism 2 with jaw tumors	0.72
mondo:0009917	pseudohypoaldosteronism, type IB1, autosomal recessive	orphanet.ordo	orphanet.ordo:171876	Generalized pseudohypoaldosteronism type 1	0.72
mondo:0019346	sialidosis type 1	orphanet.ordo	orphanet.ordo:812	Sialidosis type 1	0.55
orphanet.ordo:98729	Congenital pulmonary veins anomaly	ncit	ncit:C110942	Congenital Anomaly of Pulmonary Veins	0.75
orphanet.ordo:621758	Fibrosis-neurodegeneration-cerebral angiomatosis syndrome	mondo	mondo:0850090	fibrosis-neurodegeneration-cerebral angiomatosis syndrome	0.79
mondo:0025514	livedoid vasculopathy	orphanet.ordo	orphanet.ordo:542643	Livedoid vasculopathy	0.66
orphanet.ordo:1995	Cleft lip-retinopathy syndrome	mondo	mondo:0016051	cleft lip-retinopathy syndrome	0.85
orphanet.ordo:1442	Ring chromosome 18 syndrome	mondo	mondo:0015434	ring chromosome 18	0.87
orphanet.ordo:451607	Cutaneous pseudolymphoma	mondo	mondo:0018680	cutaneous pseudolymphoma	0.76
orphanet.ordo:158124	Genetic dementia	mondo	mondo:0015547	hereditary dementia	0.78
orphanet.ordo:157973	Congenital muscular dystrophy due to LMNA mutation	mondo	mondo:0013178	congenital muscular dystrophy due to LMNA mutation	0.84
orphanet.ordo:345	Dissecting cellulitis of the scalp	mondo	mondo:0009848	dissecting cellulitis of the scalp	0.78
mondo:0011291	ALG6-congenital disorder of glycosylation 1C	orphanet.ordo	orphanet.ordo:79320	ALG6-CDG	0.57
ncit:C3630	Benign Parathyroid Gland Neoplasm	doid	doid:60008	parathyroid gland benign neoplasm	1.05
mondo:0013761	childhood encephalopathy due to thiamine pyrophosphokinase deficiency	orphanet.ordo	orphanet.ordo:293955	Childhood encephalopathy due to thiamine pyrophosphokinase deficiency	0.83
orphanet.ordo:269190	Encephaloclastic disorder	mondo	mondo:0017103	encephaloclastic disorder	0.79
mondo:0019470	aggressive NK-cell leukemia	orphanet.ordo	orphanet.ordo:86873	Aggressive NK-cell leukemia	0.85
ncit:C84915	Necrotizing Enterocolitis	doid	doid:8677	perinatal necrotizing enterocolitis	0.82
orphanet.ordo:589522	Spinocerebellar ataxia type 46	mondo	mondo:0033481	spinocerebellar ataxia 46	0.57
ncit:C84682	Echinococcosis	mesh	mesh:D004443	Echinococcosis	0.82
mondo:0008274	polyostotic fibrous dysplasia	orphanet.ordo	orphanet.ordo:93276	Polyostotic fibrous dysplasia	0.74
mondo:0007947	Marfan syndrome	orphanet.ordo	orphanet.ordo:558	Marfan syndrome	0.75
ncit:C84723	Galactosemia	omim.ps	omim.ps:230400	Galactosemia	0.7
orphanet.ordo:60025	Pulmonary alveolar microlithiasis	mondo	mondo:0009928	pulmonary alveolar microlithiasis	0.87
mondo:0020123	metabolic myopathy	orphanet.ordo	orphanet.ordo:98486	Metabolic myopathy	0.81
mondo:0009955	rapadilino syndrome	orphanet.ordo	orphanet.ordo:3021	RAPADILINO syndrome	0.59
orphanet.ordo:52	Alagille syndrome	mondo	mondo:0007318	Alagille syndrome	0.6
orphanet.ordo:310050	Acquired immunodeficiency	ncit	ncit:C2851	Acquired Immunodeficiency Syndrome	0.74
mondo:0008156	autosomal dominant osteopetrosis 2	orphanet.ordo	orphanet.ordo:53	Albers-Schönberg osteopetrosis	0.59
mondo:0017712	combined pancreatic lipase-colipase deficiency	orphanet.ordo	orphanet.ordo:309111	Combined pancreatic lipase-colipase deficiency	0.82
mondo:0015735	severe congenital nemaline myopathy	orphanet.ordo	orphanet.ordo:171430	Severe congenital nemaline myopathy	0.87
orphanet.ordo:496641	Early-onset progressive diffuse brain atrophy-microcephaly-muscle weakness-optic atrophy syndrome	mondo	mondo:0044646	early-onset progressive diffuse brain atrophy-microcephaly-muscle weakness-optic atrophy syndrome	0.8
mondo:0011884	hypotrichosis-osteolysis-periodontitis-palmoplantar keratoderma syndrome	orphanet.ordo	orphanet.ordo:307936	Hypotrichosis-osteolysis-periodontitis-palmoplantar keratoderma syndrome	0.79
orphanet.ordo:139402	Drug reaction with eosinophilia and systemic symptoms	mondo	mondo:0015340	drug rash with eosinophilia and systemic symptoms	0.85
ncit:C34992	Congenital Rubella	orphanet.ordo	orphanet.ordo:290	Congenital rubella syndrome	0.88
mondo:0014810	pancytopenia due to IKZF1 mutations	orphanet.ordo	orphanet.ordo:317473	Pancytopenia due to IKZF1 mutations	0.6
efo:0003063	polymyositis	orphanet.ordo	orphanet.ordo:732	Polymyositis	0.75
orphanet.ordo:97285	Thyroid lymphoma	mondo	mondo:0019962	thyroid lymphoma	0.76
ncit:C43534	Small Intestinal Squamous Cell Carcinoma	orphanet.ordo	orphanet.ordo:423968	Squamous cell carcinoma of the small intestine	0.64
ncit:C85051	Rubella Infection	mesh	mesh:D012409	Rubella	0.75
mondo:0017561	congenital genu flexum	orphanet.ordo	orphanet.ordo:295232	Congenital genu flexum	0.75
orphanet.ordo:848	Beta-thalassemia	mondo	mondo:0019402	beta thalassemia	0.55
orphanet.ordo:840	Syringocystadenoma papilliferum	mondo	mondo:0019392	syringocystadenoma papilliferum	0.84
orphanet.ordo:83418	Proximal spinal muscular atrophy type 2	mondo	mondo:0009673	spinal muscular atrophy, type II	0.82
orphanet.ordo:390	Histoplasmosis	doid	doid:1731	histoplasmosis	0.76
ncit:C92191	Adjustment Disorder	doid	doid:507	adjustment disorder	1.04
orphanet.ordo:93394	Brachydactyly type A4	mondo	mondo:0007218	brachydactyly type A4	0.63
ncit:C114899	Transient Neonatal Diabetes Mellitus	doid	doid:0060334	transient neonatal diabetes mellitus	0.84
mondo:0008301	Guttmacher syndrome	orphanet.ordo	orphanet.ordo:2957	Guttmacher syndrome	0.66
orphanet.ordo:75858	MORM syndrome	mondo	mondo:0012423	MORM syndrome	0.73
mondo:0019020	PANDAS	orphanet.ordo	orphanet.ordo:66624	PANDAS	0.57
mondo:0014731	seizures-scoliosis-macrocephaly syndrome	orphanet.ordo	orphanet.ordo:466926	Seizures-scoliosis-macrocephaly syndrome	0.76
mondo:0018890	Lyell syndrome	ncit	ncit:C79777	Toxic Epidermal Necrolysis	0.81
mondo:0007894	Leri pleonosteosis	orphanet.ordo	orphanet.ordo:2900	Leri pleonosteosis	0.81
orphanet.ordo:652519	Cleft palate-congenital heart defect-intellectual disability syndrome	mondo	mondo:0958091	cleft palate-congenital heart defect-intellectual disability syndrome	0.76
mondo:0016195	qualitative or quantitative defects of beta-myosin heavy chain (MYH7)	orphanet.ordo	orphanet.ordo:209185	Qualitative or quantitative defects of beta-myosin heavy chain (MYH7)	0.87
mondo:0018995	Charcot-Marie-Tooth disease type 4	orphanet.ordo	orphanet.ordo:64749	Charcot-Marie-Tooth disease type 4	0.63
mondo:0011977	8q22.1 microdeletion syndrome	orphanet.ordo	orphanet.ordo:178303	8q22.1 microdeletion syndrome	0.81
orphanet.ordo:85445	AA amyloidosis	mondo	mondo:0019439	AA amyloidosis	0.75
doid:12129	bulimia nervosa	ncit	ncit:C34440	Bulimia Nervosa	0.96
mondo:0019368	florid cemento-osseous dysplasia	orphanet.ordo	orphanet.ordo:83451	Florid cemento-osseous dysplasia	0.89
mondo:0019992	pseudohypoparathyroidism	orphanet.ordo	orphanet.ordo:97593	Pseudohypoparathyroidism	0.9
mondo:0015363	neuronopathy, distal hereditary motor, autosomal recessive	orphanet.ordo	orphanet.ordo:140468	Autosomal recessive distal hereditary motor neuropathy	0.96
orphanet.ordo:209932	Cone dystrophy with supernormal rod response	mondo	mondo:0012475	cone dystrophy with supernormal rod response	0.84
orphanet.ordo:53035	Caroli disease	ncit	ncit:C84619	Caroli Disease	0.73
orphanet.ordo:530303	Progressive dementia with neuroserpin inclusion bodies	mondo	mondo:0035161	progressive dementia with neuroserpin inclusion bodies	0.73
mondo:0007872	LADD syndrome	orphanet.ordo	orphanet.ordo:2363	Lacrimoauriculodentodigital syndrome	0.75
doid:13371	scrub typhus	orphanet.ordo	orphanet.ordo:83317	Scrub typhus	0.68
orphanet.ordo:261647	Okihiro syndrome due to a point mutation	mondo	mondo:0016864	Okihiro syndrome due to a point mutation	0.72
orphanet.ordo:137	Congenital disorder of glycosylation	mondo	mondo:0015286	congenital disorder of glycosylation	0.77
mondo:0009910	Wiedemann-Rautenstrauch syndrome	orphanet.ordo	orphanet.ordo:3455	Wiedemann-Rautenstrauch syndrome	0.74
mondo:0024472	boutonneuse fever	orphanet.ordo	orphanet.ordo:101334	African tick typhus	0.55
orphanet.ordo:352333	Congenital ichthyosis-intellectual disability-spastic quadriplegia syndrome	mondo	mondo:0013760	congenital ichthyosis-intellectual disability-spastic quadriplegia syndrome	0.86
orphanet.ordo:217335	RIN2 syndrome	mondo	mondo:0013115	RIN2 syndrome	0.73
orphanet.ordo:1077	Dental ankylosis	mondo	mondo:0008007	tooth ankylosis	0.67
orphanet.ordo:645202	Closed spinal dysraphism	mondo	mondo:0000859	spina bifida occulta	0.65
mondo:0018581	progressive encephalomyelitis with rigidity and myoclonus	orphanet.ordo	orphanet.ordo:438266	Progressive encephalomyelitis with rigidity and myoclonus	0.83
mesh:D001759	Blastomycosis	ncit	ncit:C34429	North American Blastomycosis	0.64
efo:0003851	meningeal neoplasm	orphanet.ordo	orphanet.ordo:252025	Tumor of meninges	0.55
mondo:0017223	Pelizaeus-Merzbacher disease, transitional form	orphanet.ordo	orphanet.ordo:280224	Pelizaeus-Merzbacher disease, transitional form	0.73
orphanet.ordo:324601	X-linked cleft palate and ankyloglossia	mondo	mondo:0010560	cleft palate with or without ankyloglossia, X-linked	0.88
mondo:0015687	chronic eosinophilic leukemia	orphanet.ordo	orphanet.ordo:168940	Chronic eosinophilic leukemia	0.83
mondo:0018921	Meckel syndrome	orphanet.ordo	orphanet.ordo:564	Meckel syndrome	0.79
mondo:0018002	adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy	orphanet.ordo	orphanet.ordo:329336	Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy	0.77
mondo:0007225	fibular aplasia-ectrodactyly syndrome	orphanet.ordo	orphanet.ordo:1118	Fibular aplasia-ectrodactyly syndrome	0.77
mondo:0018623	postpartum psychosis	orphanet.ordo	orphanet.ordo:443173	Postpartum psychosis	0.85
orphanet.ordo:664372	Soft and hard cleft palate	mondo	mondo:0971092	soft and hard cleft palate	0.75
orphanet.ordo:98856	Charcot-Marie-Tooth disease type 2B1	mondo	mondo:0011569	Charcot-Marie-Tooth disease type 2B1	0.75
orphanet.ordo:262206	Partial duplication of chromosome 4 syndrome	mondo	mondo:0016924	partial duplication of chromosome 4	0.67
mondo:0015195	atresia of urethra	orphanet.ordo	orphanet.ordo:105	Atresia of urethra	0.79
orphanet.ordo:2166	Holoprosencephaly-postaxial polydactyly syndrome	mondo	mondo:0009921	holoprosencephaly-postaxial polydactyly syndrome	0.95
orphanet.ordo:3130	Satoyoshi syndrome	mondo	mondo:0010922	Satoyoshi syndrome	0.53
efo:0007281	geniculate herpes zoster	orphanet.ordo	orphanet.ordo:3020	Ramsay Hunt syndrome	0.56
orphanet.ordo:1495	Intellectual disability-hypoplastic corpus callosum-preauricular tag syndrome	mondo	mondo:0015458	intellectual disability-hypoplastic corpus callosum-preauricular tag syndrome	0.91
orphanet.ordo:411515	Angelman syndrome due to imprinting defect in 15q11-q13	mondo	mondo:0018462	Angelman syndrome due to imprinting defect in 15q11-q13	0.73
mondo:0010790	MERRF syndrome	orphanet.ordo	orphanet.ordo:551	MERRF	0.58
mondo:0008075	schwannomatosis	orphanet.ordo	orphanet.ordo:93921	Full schwannomatosis	0.53
mondo:0009203	focal facial dermal dysplasia type III	orphanet.ordo	orphanet.ordo:1807	Focal facial dermal dysplasia type III	0.83
ncit:C117074	Trigeminal Autonomic Cephalalgia	orphanet.ordo	orphanet.ordo:157843	Trigeminal autonomic cephalalgia	0.77
ncit:C2958	Communication Disorder	mesh	mesh:D003147	Communication Disorders	0.84
mondo:0014502	Mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency	orphanet.ordo	orphanet.ordo:319563	Mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency	0.73
orphanet.ordo:398053	Adenocarcinoma of the penis	mondo	mondo:0002653	Paget disease of the penis	0.73
orphanet.ordo:98959	Subepithelial mucinous corneal dystrophy	mondo	mondo:0013026	subepithelial mucinous corneal dystrophy	0.76
orphanet.ordo:141096	Supernumerary nostril	mondo	mondo:0015389	supernumerary nostril	0.89
mesh:D017593	Kleine-Levin Syndrome	ncit	ncit:C84800	Kleine-Levin Syndrome	0.9
mondo:0009931	pulmonary atresia-intact ventricular septum syndrome	orphanet.ordo	orphanet.ordo:1208	Pulmonary atresia-intact ventricular septum syndrome	0.85
orphanet.ordo:3464	Woodhouse-Sakati syndrome	mondo	mondo:0009419	Woodhouse-Sakati syndrome	0.56
efo:0007299	hemorrhagic fever with renal syndrome	orphanet.ordo	orphanet.ordo:340	Hemorrhagic fever-renal syndrome	0.56
mondo:0017930	mixed sclerosing bone dystrophy with extra-skeletal manifestations	orphanet.ordo	orphanet.ordo:324364	Mixed sclerosing bone dystrophy with extra-skeletal manifestations	0.77
mondo:0017235	familial omphalocele syndrome with facial dysmorphism	orphanet.ordo	orphanet.ordo:280403	Familial omphalocele syndrome with facial dysmorphism	0.79
orphanet.ordo:171445	Muscle filaminopathy	mondo	mondo:0012289	myofibrillar myopathy 5	0.7
orphanet.ordo:93352	Spondyloepimetaphyseal dysplasia, Shohat type	mondo	mondo:0011252	spondyloepimetaphyseal dysplasia, Shohat type	0.91
doid:14484	sporotrichosis	orphanet.ordo	orphanet.ordo:826	Sporotrichosis	0.77
orphanet.ordo:96264	49,XXXXY syndrome	mondo	mondo:0019929	49,XXXXY syndrome	0.89
mondo:0009879	short stature due to growth hormone qualitative anomaly	orphanet.ordo	orphanet.ordo:629	Short stature due to growth hormone qualitative anomaly	0.72
mondo:0012074	mandibuloacral dysplasia with type B lipodystrophy	orphanet.ordo	orphanet.ordo:90154	Mandibuloacral dysplasia with type B lipodystrophy	0.72
orphanet.ordo:2039	Congenital systemic arteriovenous fistula	mondo	mondo:0016078	congenital systemic arteriovenous fistula	0.77
mondo:0019941	hereditary sensory and autonomic neuropathy type 2	orphanet.ordo	orphanet.ordo:970	Hereditary sensory and autonomic neuropathy type 2	0.9
mondo:0958127	transplant-related bronchiolitis obliterans	orphanet.ordo	orphanet.ordo:658602	Transplant-related bronchiolitis obliterans	0.76
orphanet.ordo:2250	Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome	mondo	mondo:0016393	obsolete hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome	0.8
mondo:0100528	Hao-Fountain syndrome due to 16p13.2 microdeletion	orphanet.ordo	orphanet.ordo:500055	Hao-Fountain syndrome due to 16p13.2 microdeletion	0.52
mondo:0011059	holoprosencephaly-craniosynostosis syndrome	orphanet.ordo	orphanet.ordo:2163	Holoprosencephaly-craniosynostosis syndrome	0.79
mondo:0044724	3-methylglutaconic aciduria type 9	orphanet.ordo	orphanet.ordo:505216	3-methylglutaconic aciduria type 9	0.75
ncit:C84578	Autosomal Dominant Polycystic Kidney Disease	orphanet.ordo	orphanet.ordo:730	Autosomal dominant polycystic kidney disease	0.77
efo:1001971	thyroid gland sarcoma	mondo	mondo:0003028	thyroid sarcoma	0.87
orphanet.ordo:99757	Embryonal rhabdomyosarcoma	mondo	mondo:0009993	embryonal rhabdomyosarcoma	0.5
mondo:0957463	primary bone and joint tuberculosis	orphanet.ordo	orphanet.ordo:645822	Primary bone and joint tuberculosis	0.76
orphanet.ordo:481665	USP18 deficiency	mondo	mondo:0018828	pseudo-TORCH syndrome 2	0.55
mondo:0010839	neuronopathy, distal hereditary motor, autosomal dominant 8	orphanet.ordo	orphanet.ordo:1216	Autosomal dominant congenital benign spinal muscular atrophy	0.58
efo:0009117	typhus	ncit	ncit:C84688	Endemic Typhus Fever	0.79
mondo:0014074	Charcot-Marie-Tooth disease dominant intermediate F	orphanet.ordo	orphanet.ordo:352670	Autosomal dominant intermediate Charcot-Marie-Tooth disease type F	0.89
mondo:0010711	TARP syndrome	orphanet.ordo	orphanet.ordo:2886	TARP syndrome	0.69
ncit:C94330	Dissociative Identity Disorder	mesh	mesh:D009105	Dissociative Identity Disorder	0.94
orphanet.ordo:394	Homocystinuria due to cystathionine beta-synthase deficiency	mondo	mondo:0009352	classic homocystinuria	0.83
orphanet.ordo:140896	Severe acute respiratory syndrome	mesh	mesh:D045169	Severe Acute Respiratory Syndrome	0.75
orphanet.ordo:447	Paroxysmal nocturnal hemoglobinuria	omim.ps	omim.ps:300818	Paroxysmal nocturnal hemoglobinuria	0.7
orphanet.ordo:90340	Blau syndrome	mondo	mondo:0008523	Blau syndrome	0.55
orphanet.ordo:99977	Squamous cell carcinoma of the esophagus	doid	doid:3748	esophagus squamous cell carcinoma	0.74
orphanet.ordo:93315	Spondylometaphyseal dysplasia, 'corner fracture' type	mondo	mondo:0008479	spondylometaphyseal dysplasia, 'corner fracture' type	0.85
orphanet.ordo:646	Niemann-Pick disease type C	mondo	mondo:0018982	Niemann-Pick disease type C	0.82
omim.ps:160120	Episodic ataxia	doid	doid:963	episodic ataxia	0.51
orphanet.ordo:329931	C3 glomerulonephritis	mondo	mondo:0013892	C3 glomerulonephritis	0.55
orphanet.ordo:2639	Fibular aplasia-complex brachydactyly syndrome	mondo	mondo:0009231	acromesomelic dysplasia 2B	0.6
orphanet.ordo:186	Primary biliary cholangitis	efo	efo:1001486	primary biliary cirrhosis	0.64
doid:0040090	autoimmune gastritis	ncit	ncit:C95752	Autoimmune Gastritis	0.88
doid:0050696	fetal alcohol spectrum disorder	ncit	ncit:C92780	Fetal Alcohol Spectrum Disorder	0.75
orphanet.ordo:88660	Hypertension due to gain-of-function mutations in the mineralocorticoid receptor	mondo	mondo:0011517	pseudohyperaldosteronism type 2	0.72
ncit:C92631	Schizoid Personality Disorder	mesh	mesh:D012557	Schizoid Personality Disorder	1.18
mondo:0017230	autosomal semi-dominant severe lipodystrophic laminopathy	orphanet.ordo	orphanet.ordo:280365	Autosomal semi-dominant severe lipodystrophic laminopathy	0.8
mondo:0035432	POMGNT2-related limb-girdle muscular dystrophy R24	orphanet.ordo	orphanet.ordo:565899	POMGNT2-related limb-girdle muscular dystrophy R24	0.84
orphanet.ordo:90154	Mandibuloacral dysplasia with type B lipodystrophy	mondo	mondo:0012074	mandibuloacral dysplasia with type B lipodystrophy	0.72
orphanet.ordo:180261	Phyllodes tumor of the breast	ncit	ncit:C7575	Breast Phyllodes Tumor	0.76
ncit:C128409	Cyclosporiasis	mesh	mesh:D021866	Cyclosporiasis	0.94
mondo:0015537	necrobiotic xanthogranuloma	orphanet.ordo	orphanet.ordo:158011	Necrobiotic xanthogranuloma	0.76
orphanet.ordo:141071	Digestive duplication cyst of the tongue	mondo	mondo:0015384	digestive duplication cyst of the tongue	0.72
orphanet.ordo:59306	McLeod neuroacanthocytosis syndrome	mondo	mondo:0018945	McLeod neuroacanthocytosis syndrome	0.88
mondo:0026777	VEXAS syndrome	orphanet.ordo	orphanet.ordo:596753	VEXAS syndrome	0.92
orphanet.ordo:50809	Talo-patello-scaphoid osteolysis	mondo	mondo:0012330	talo-patello-scaphoid osteolysis	0.76
orphanet.ordo:1192	Atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome	mondo	mondo:0008843	atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome	0.85
orphanet.ordo:449266	Pleural empyema	mesh	mesh:D016724	Empyema, Pleural	0.5
mondo:0012927	chromosome 1q41-q42 deletion syndrome	orphanet.ordo	orphanet.ordo:250999	1q41q42 microdeletion syndrome	0.76
mondo:0024281	juvenile chronic polyarthritis	doid	doid:676	juvenile rheumatoid arthritis	0.73
mondo:0011819	spinocerebellar ataxia type 19/22	orphanet.ordo	orphanet.ordo:98772	Spinocerebellar ataxia type 19/22	0.76
doid:0060590	XFE progeroid syndrome	ncit	ncit:C173111	XFE Progeroid Syndrome	0.88
mondo:0018839	acquired schizencephaly	orphanet.ordo	orphanet.ordo:485275	Acquired schizencephaly	0.73
orphanet.ordo:447753	Autosomal dominant spastic paraplegia type 9A	mondo	mondo:0011006	hereditary spastic paraplegia 9A	0.6
mondo:0008071	autosomal dominant progressive nephropathy with hypertension	orphanet.ordo	orphanet.ordo:88659	Autosomal dominant progressive nephropathy with hypertension	0.61
mondo:0010078	spondyloperipheral dysplasia	orphanet.ordo	orphanet.ordo:1856	Spondyloperipheral dysplasia-short ulna syndrome	0.79
doid:13074	tinea unguium	ncit	ncit:C112214	Onychomycosis	0.65
efo:1000069	Adamantinomatous Craniopharyngioma	mondo	mondo:0002787	adamantinous craniopharyngioma	0.9
mondo:0007203	blue rubber bleb nevus	orphanet.ordo	orphanet.ordo:1059	Blue rubber bleb nevus	0.78
orphanet.ordo:3186	Holoprosencephaly-radial heart renal anomalies syndrome	mondo	mondo:0008488	holoprosencephaly-radial heart renal anomalies syndrome	0.97
mondo:0017366	hereditary pheochromocytoma-paraganglioma	orphanet.ordo	orphanet.ordo:29072	Hereditary pheochromocytoma-paraganglioma	0.86
orphanet.ordo:363444	THOC6-related developmental delay-microcephaly-facial dysmorphism syndrome	mondo	mondo:0013362	THOC6-related developmental delay-microcephaly-facial dysmorphism syndrome	0.67
ncit:C7581	Microcystic Adnexal Carcinoma	doid	doid:5569	malignant syringoma	0.68
orphanet.ordo:35858	Imerslund-Gräsbeck syndrome	mondo	mondo:0009853	Imerslund-Grasbeck syndrome	0.58
orphanet.ordo:228363	CLN6 disease	mondo	mondo:0011144	ceroid lipofuscinosis, neuronal, 6A	0.54
mondo:0016733	ganglioglioma	orphanet.ordo	orphanet.ordo:251949	Ganglioglioma	0.55
orphanet.ordo:261272	17q12 microduplication syndrome	mondo	mondo:0013796	chromosome 17q12 duplication syndrome	0.79
mondo:0019960	VIPoma	orphanet.ordo	orphanet.ordo:97282	VIPoma	0.54
ncit:C26872	Respiratory Failure	doid	doid:11162	respiratory failure	0.95
mondo:0957408	type 1 interferonopathy of childhood	orphanet.ordo	orphanet.ordo:481671	Type 1 interferonopathy of childhood	0.72
mondo:0009253	Fryns syndrome	orphanet.ordo	orphanet.ordo:2059	Fryns syndrome	0.72
orphanet.ordo:624268	Non-specific autoimmune cerebellar ataxia without characteristic antibodies	mondo	mondo:0850109	non-specific autoimmune cerebellar ataxia without characteristic antibodies	0.58
orphanet.ordo:1909	Indomethacin embryofetopathy	mondo	mondo:0016005	indomethacin embryofetopathy	0.92
mondo:0017869	chondroectodermal dysplasia with night blindness	orphanet.ordo	orphanet.ordo:319195	Chondroectodermal dysplasia with night blindness	0.78
orphanet.ordo:1851	Multicystic dysplastic kidney	mondo	mondo:0015988	multicystic dysplastic kidney	0.86
orphanet.ordo:364	Glycogen storage disease due to glucose-6-phosphatase deficiency	mondo	mondo:0002413	glycogen storage disease I	0.81
mondo:0009716	Richieri Costa-da Silva syndrome	orphanet.ordo	orphanet.ordo:3101	Richieri Costa-da Silva syndrome	0.61
mondo:0009495	Keutel syndrome	orphanet.ordo	orphanet.ordo:85202	Keutel syndrome	0.64
mondo:0012967	hemolytic anemia due to adenylate kinase deficiency	orphanet.ordo	orphanet.ordo:86817	Hemolytic anemia due to adenylate kinase deficiency	0.85
orphanet.ordo:141132	Oculo-auriculo-vertebral spectrum	mondo	mondo:0015397	craniofacial microsomia	0.63
orphanet.ordo:284180	Xp22.13p22.2 duplication syndrome	mondo	mondo:0017284	Xp22.13p22.2 duplication syndrome	0.78
orphanet.ordo:529831	Letrozole toxicity	mondo	mondo:0035350	letrozole toxicity	0.82
orphanet.ordo:90793	Congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency	mondo	mondo:0008730	congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency	0.88
mondo:0018145	congenital retinal arteriovenous communication	orphanet.ordo	orphanet.ordo:353334	Congenital retinal arteriovenous communication	0.76
orphanet.ordo:99748	Pontiac fever	mondo	mondo:0020487	Pontiac fever	0.77
omim.ps:230400	Galactosemia	doid	doid:9870	galactosemia	0.7
mondo:0044346	echinococcus granulosus infectious disease	doid	doid:1495	cystic echinococcosis	0.7
mondo:0010400	X-linked scapuloperoneal muscular dystrophy	orphanet.ordo	orphanet.ordo:431272	X-linked scapuloperoneal muscular dystrophy	0.83
mondo:0011781	spinocerebellar ataxia type 17	orphanet.ordo	orphanet.ordo:98759	Spinocerebellar ataxia type 17	0.63
mondo:0017720	GM2 gangliosidosis	orphanet.ordo	orphanet.ordo:309152	GM2 gangliosidosis	0.95
orphanet.ordo:2831	Rhizomelic dysplasia, Patterson-Lowry type	mondo	mondo:0011079	rhizomelic dysplasia, Patterson-Lowry type	0.86
mondo:0009693	plasma cell myeloma	orphanet.ordo	orphanet.ordo:29073	Multiple myeloma	0.83
