source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source	confidence
omim.ps	omim.ps:158000	NO_NAME_FOUND	skos:exactMatch	ncit	ncit:C84894	Monilethrix	semapv:SemanticSimilarityThresholdMatching	logmap	0.7
mesh	mesh:D009770	Obsessive Behavior	skos:exactMatch	mfomd	mfomd:0000109	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.75
icd11	icd11:766764299	Fusarium	skos:exactMatch	ncbitaxon	ncbitaxon:5506	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.72
icd11	icd11:1352899160	Balantidium	skos:exactMatch	ncbitaxon	ncbitaxon:71584	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
omim.ps	omim.ps:158000	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:415074833	Monilethrix	semapv:SemanticSimilarityThresholdMatching	logmap	0.7
doid	doid:0051015	adult onset demyelinating leukodystrophy	skos:exactMatch	omim.ps	omim.ps:169500	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
ncbitaxon	ncbitaxon:11072	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1942681105	Japanese encephalitis virus	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
icd11	icd11:1336241362	Brucella canis	skos:exactMatch	ncbitaxon	ncbitaxon:36855	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
ncbigene	ncbigene:475989	NO_NAME_FOUND	skos:exactMatch	mondo	mondo:0007586	exostoses, multiple, type 2	semapv:SemanticSimilarityThresholdMatching	logmap	0.52
icd11	icd11:1918114135	Spirometra	skos:exactMatch	ncbitaxon	ncbitaxon:46580	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.72
omim.ps	omim.ps:251000	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:2139816011	Methylmalonic aciduria	semapv:SemanticSimilarityThresholdMatching	logmap	0.7
icd11	icd11:1260836546	Yersinia enterocolitica	skos:exactMatch	ncbitaxon	ncbitaxon:630	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
icd11	icd11:1351447942	Genus Orthoebolavirus	skos:exactMatch	ncbitaxon	ncbitaxon:3044781	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.87
ncbitaxon	ncbitaxon:730	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:468349501	Haemophilus ducreyi	semapv:SemanticSimilarityThresholdMatching	logmap	0.68
ncbitaxon	ncbitaxon:1313	NO_NAME_FOUND	skos:exactMatch	efo	efo:0007499	streptococcal pneumonia	semapv:SemanticSimilarityThresholdMatching	logmap	0.52
ncbitaxon	ncbitaxon:11584	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1582189314	Phlebovirus	semapv:SemanticSimilarityThresholdMatching	logmap	0.78
icd11	icd11:2116096692	Actinomyces	skos:exactMatch	ncbitaxon	ncbitaxon:1760	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.56
cl	cl:0000775	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:53850604	Neutrophils	semapv:SemanticSimilarityThresholdMatching	logmap	0.82
chr	chr:9606-chr15q13.3	NO_NAME_FOUND	skos:exactMatch	mondo	mondo:0012774	chromosome 15q13.3 microdeletion syndrome	semapv:SemanticSimilarityThresholdMatching	logmap	0.52
ncbitaxon	ncbitaxon:5039	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:2085448427	Blastomyces dermatitidis	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
ncbitaxon	ncbitaxon:121739	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1499844537	Lacazia	semapv:SemanticSimilarityThresholdMatching	logmap	1.04
foodon	foodon:03411201	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:823942568	Milk or dairy	semapv:SemanticSimilarityThresholdMatching	logmap	0.34
ncbitaxon	ncbitaxon:10319	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:213097968	Varicella zoster virus	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
ncbitaxon	ncbitaxon:633	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:2063571630	Yersinia pseudotuberculosis	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
icd11	icd11:979767041	Cryptosporidium parvum	skos:exactMatch	ncbitaxon	ncbitaxon:5807	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
mondo	mondo:0015350	17q11.2 microduplication syndrome	skos:exactMatch	chr	chr:9606-chr17q11.2	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.53
pato	pato:0001195	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1426392298	proximal	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
mondo	mondo:0010691	Norrie disease	skos:exactMatch	ncbigene	ncbigene:612440	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.52
ncbitaxon	ncbitaxon:36087	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:701376218	Trichuris trichiura	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
so	so:1000037	NO_NAME_FOUND	skos:exactMatch	orphanet	orphanet:251038	3q29 microduplication syndrome	semapv:SemanticSimilarityThresholdMatching	logmap	0.29
doid	doid:0051009	congenital nonspherocytic hemolytic anemia 10	skos:exactMatch	omim.ps	omim.ps:300908	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.51
icd11	icd11:1074111698	Western equine encephalitis virus	skos:exactMatch	ncbitaxon	ncbitaxon:11039	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
ncbitaxon	ncbitaxon:6187	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:918383573	Schistosoma intercalatum	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
doid	doid:0070114	Niemann-Pick disease type C2	skos:exactMatch	ncbigene	ncbigene:101094270	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.53
ncbitaxon	ncbitaxon:1809	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1480719958	Mycobacterium ulcerans	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
ncit	ncit:C98986	Methylmalonic Acidemia	skos:exactMatch	omim.ps	omim.ps:251000	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.7
efo	efo:1001377	Neisseriaceae Infections	skos:exactMatch	ncbitaxon	ncbitaxon:481	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.55
orphanet	orphanet:284160	8q21.11 microdeletion syndrome	skos:exactMatch	chr	chr:9606-chr8q21.11	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.72
envo	envo:01001243	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1426129825	Forest	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
ncbitaxon	ncbitaxon:28344	NO_NAME_FOUND	skos:exactMatch	mesh	mesh:D019318	Porcine Reproductive and Respiratory Syndrome	semapv:SemanticSimilarityThresholdMatching	logmap	0.64
icd11	icd11:1335018386	Vaccinia virus	skos:exactMatch	ncbitaxon	ncbitaxon:10245	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
ncbitaxon	ncbitaxon:6286	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:490445916	Dirofilaria	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
icd11	icd11:1805511520	Infective inguinal bubo	skos:exactMatch	ncbitaxon	ncbitaxon:30460	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
icd11	icd11:1151295060	Bacillus	skos:exactMatch	ncbitaxon	ncbitaxon:91061	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
icd11	icd11:301591283	Rickettsia australis	skos:exactMatch	ncbitaxon	ncbitaxon:787	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
icd11	icd11:620637831	Rickettsia japonica	skos:exactMatch	ncbitaxon	ncbitaxon:35790	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
omim.ps	omim.ps:125850	NO_NAME_FOUND	skos:exactMatch	ncit	ncit:C114769	Maturity-Onset Diabetes of the Young	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
ncbitaxon	ncbitaxon:5036	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:433360832	Histoplasma	semapv:SemanticSimilarityThresholdMatching	logmap	0.88
efo	efo:0007548	yaws	skos:exactMatch	ncbitaxon	ncbitaxon:168	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.54
ncbitaxon	ncbitaxon:487	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:81962027	Neisseria meningitidis	semapv:SemanticSimilarityThresholdMatching	logmap	0.75
mondo	mondo:0017781	12p12.1 microdeletion syndrome	skos:exactMatch	chr	chr:9606-chr12p12.1	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.53
icd11	icd11:686273744	Borrelia	skos:exactMatch	ncbitaxon	ncbitaxon:138	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.75
icd11	icd11:1954936630	Rickettsia sibirica	skos:exactMatch	ncbitaxon	ncbitaxon:35793	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
ncbitaxon	ncbitaxon:5061	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1072961870	Aspergillus niger	semapv:SemanticSimilarityThresholdMatching	logmap	0.89
foodon	foodon:03411237	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1471095764	Shrimp	semapv:SemanticSimilarityThresholdMatching	logmap	0.72
ncbitaxon	ncbitaxon:11051	NO_NAME_FOUND	skos:exactMatch	efo	efo:1001326	Flavivirus Infections	semapv:SemanticSimilarityThresholdMatching	logmap	0.56
icd11	icd11:1286748959	Trichuris	skos:exactMatch	ncbitaxon	ncbitaxon:36086	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
icd11	icd11:675782428	Tunga	skos:exactMatch	ncbitaxon	ncbitaxon:140713	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
ncbitaxon	ncbitaxon:4753	NO_NAME_FOUND	skos:exactMatch	ncit	ncit:C3334	Pneumocystis Pneumonia	semapv:SemanticSimilarityThresholdMatching	logmap	0.51
icd11	icd11:903359149	Kyasanur Forest disease virus	skos:exactMatch	ncbitaxon	ncbitaxon:33743	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
icd11	icd11:545685931	Rotavirus	skos:exactMatch	ncbitaxon	ncbitaxon:10912	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
ncbitaxon	ncbitaxon:88456	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1838183743	Cyclospora cayetanensis	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
ncbigene	ncbigene:478121	NO_NAME_FOUND	skos:exactMatch	doid	doid:0110124	Bardet-Biedl syndrome 2	semapv:SemanticSimilarityThresholdMatching	logmap	0.54
ncbitaxon	ncbitaxon:4753	NO_NAME_FOUND	skos:exactMatch	efo	efo:0007448	pneumocystosis	semapv:SemanticSimilarityThresholdMatching	logmap	0.52
ncbitaxon	ncbitaxon:6252	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1381523143	Ascaris lumbricoides	semapv:SemanticSimilarityThresholdMatching	logmap	0.72
mondo	mondo:0009049	Cushing syndrome due to macronodular adrenal hyperplasia	skos:exactMatch	omim.ps	omim.ps:219080	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
icd11	icd11:1208497819	Virus	skos:exactMatch	ncbitaxon	ncbitaxon:10239	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.78
ncbitaxon	ncbitaxon:2267273	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1679215344	Diphyllobothriasis	semapv:SemanticSimilarityThresholdMatching	logmap	0.7
icd11	icd11:282481264	Myeloblast	skos:exactMatch	cl	cl:0000835	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.75
doid	doid:0110124	Bardet-Biedl syndrome 2	skos:exactMatch	ncbigene	ncbigene:478121	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.54
icd11	icd11:1438948339	Exposure to ultraviolet radiation	skos:exactMatch	ecto	ecto:0000006	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.75
mesh	mesh:D043762	Reproductive Behavior	skos:exactMatch	nbo	nbo:0000010	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.81
icd11	icd11:330008260	Ross River virus	skos:exactMatch	ncbitaxon	ncbitaxon:11029	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
icd11	icd11:656800624	Alphavirus	skos:exactMatch	ncbitaxon	ncbitaxon:11019	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.81
mesh	mesh:D010465	Perception	skos:exactMatch	mf	mf:0000019	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.59
ncbitaxon	ncbitaxon:51028	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1915739749	Enterobius vermicularis	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
icd11	icd11:1099051844	Rickettsia felis	skos:exactMatch	ncbitaxon	ncbitaxon:42862	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
pato	pato:0000146	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:673614169	Temperature	semapv:SemanticSimilarityThresholdMatching	logmap	0.75
ncbitaxon	ncbitaxon:85007	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:979278646	Mycobacterial diseases	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
ncbitaxon	ncbitaxon:783	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1312537554	Rickettsia rickettsii	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
pato	pato:0000125	NO_NAME_FOUND	skos:exactMatch	mondo	mondo:0011431	MASS syndrome	semapv:SemanticSimilarityThresholdMatching	logmap	0.51
ncbitaxon	ncbitaxon:10278	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1541786652	Molluscipoxvirus	semapv:SemanticSimilarityThresholdMatching	logmap	0.85
efo	efo:1000641	congenital nonspherocytic hemolytic anemia	skos:exactMatch	omim.ps	omim.ps:300908	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
doid	doid:0110126	Bardet-Biedl syndrome 4	skos:exactMatch	ncbigene	ncbigene:487634	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.54
omim.ps	omim.ps:251000	NO_NAME_FOUND	skos:exactMatch	hp	hp:0012120	Methylmalonic aciduria	semapv:SemanticSimilarityThresholdMatching	logmap	0.7
ncbitaxon	ncbitaxon:235	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:2057480360	Brucella abortus	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
ncbitaxon	ncbitaxon:2129	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1189225448	Ureaplasma	semapv:SemanticSimilarityThresholdMatching	logmap	0.74
icd11	icd11:1628320700	Coccidia	skos:exactMatch	ncbitaxon	ncbitaxon:5796	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
omim.ps	omim.ps:219080	NO_NAME_FOUND	skos:exactMatch	mondo	mondo:0020735	ACTH-independent macronodular adrenal hyperplasia 1	semapv:SemanticSimilarityThresholdMatching	logmap	0.7
icd11	icd11:433360832	Histoplasma	skos:exactMatch	ncbitaxon	ncbitaxon:5036	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.88
icd11	icd11:837115999	Neorickettsia	skos:exactMatch	ncbitaxon	ncbitaxon:33993	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
icd11	icd11:726115861	Rickettsia akari	skos:exactMatch	ncbitaxon	ncbitaxon:786	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
efo	efo:1001326	Flavivirus Infections	skos:exactMatch	ncbitaxon	ncbitaxon:11051	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.56
mondo	mondo:0006506	congenital nonspherocytic hemolytic anemia	skos:exactMatch	omim.ps	omim.ps:300908	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
ncbitaxon	ncbitaxon:5810	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:134844522	Toxoplasma	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
icd11	icd11:1520758575	Mycobacterium xenopi	skos:exactMatch	ncbitaxon	ncbitaxon:1789	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
ncbitaxon	ncbitaxon:36330	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:52373613	Plasmodium ovale	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
ncbitaxon	ncbitaxon:42231	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1659193299	Mansonella perstans	semapv:SemanticSimilarityThresholdMatching	logmap	0.84
icd11	icd11:653876440	Rhinosporidium	skos:exactMatch	ncbitaxon	ncbitaxon:90338	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.74
ncbitaxon	ncbitaxon:34487	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:649794614	Conidiobolus	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
mondo	mondo:0700064	aneuploidy	skos:exactMatch	so	so:0000054	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.52
gard	gard:7033	Methylmalonic acidemia	skos:exactMatch	omim.ps	omim.ps:251000	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.7
efo	efo:0007548	yaws	skos:exactMatch	ncbitaxon	ncbitaxon:53436	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.54
ncbitaxon	ncbitaxon:5855	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:2083958233	Plasmodium vivax	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
icd11	icd11:465867565	Ehrlichia	skos:exactMatch	ncbitaxon	ncbitaxon:943	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
cl	cl:0000835	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:282481264	Myeloblast	semapv:SemanticSimilarityThresholdMatching	logmap	0.75
ncbitaxon	ncbitaxon:3044781	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1351447942	Genus Orthoebolavirus	semapv:SemanticSimilarityThresholdMatching	logmap	0.87
icd11	icd11:22219293	Sertoli cell only syndrome	skos:exactMatch	cl	cl:0000216	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.55
icd11	icd11:1930500841	Cryptococcus neoformans	skos:exactMatch	ncbitaxon	ncbitaxon:5207	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
omim.ps	omim.ps:158000	NO_NAME_FOUND	skos:exactMatch	doid	doid:0050472	monilethrix	semapv:SemanticSimilarityThresholdMatching	logmap	0.7
icd11	icd11:939783218	Rhinosporidium seeberi	skos:exactMatch	ncbitaxon	ncbitaxon:90339	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.74
icd11	icd11:1258154716	Francisella	skos:exactMatch	ncbitaxon	ncbitaxon:262	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
efo	efo:1001374	Mycoplasmatales Infections	skos:exactMatch	ncbitaxon	ncbitaxon:2085	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.56
cl	cl:0000094	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:480467040	Granulocytes	semapv:SemanticSimilarityThresholdMatching	logmap	0.82
cl	cl:0000542	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1429960002	Lymphocytes	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
ncbitaxon	ncbitaxon:644	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:2002138857	Aeromonas hydrophila	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
chr	chr:9606-chr15q13.3	NO_NAME_FOUND	skos:exactMatch	doid	doid:0060394	chromosome 15q13.3 microdeletion syndrome	semapv:SemanticSimilarityThresholdMatching	logmap	0.55
mesh	mesh:D003243	Consciousness	skos:exactMatch	mf	mf:0000017	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
omim.ps	omim.ps:151623	NO_NAME_FOUND	skos:exactMatch	ncit	ncit:C3476	Li-Fraumeni Syndrome	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
mondo	mondo:0017580	11p15.4 microduplication syndrome	skos:exactMatch	chr	chr:9606-chr11p15.4	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.52
ncit	ncit:C36287	Congenital or Acquired Anatomic Abnormality	skos:exactMatch	pato	pato:0000646	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
ncbitaxon	ncbitaxon:39824	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:551388955	Klebsiella granulomatis	semapv:SemanticSimilarityThresholdMatching	logmap	0.82
icd11	icd11:2104676964	Other effects of reduced temperature	skos:exactMatch	envo	envo:01001548	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.6
mondo	mondo:0008009	monilethrix	skos:exactMatch	omim.ps	omim.ps:158000	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.51
icd11	icd11:1184377859	Fungi	skos:exactMatch	ncbitaxon	ncbitaxon:4751	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.71
cl	cl:0000235	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:97328296	Macrophages	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
ncbitaxon	ncbitaxon:10358	NO_NAME_FOUND	skos:exactMatch	ncit	ncit:C53649	Cytomegaloviral Infection	semapv:SemanticSimilarityThresholdMatching	logmap	0.6
ncbitaxon	ncbitaxon:12721	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:779750023	Human immunodeficiency virus	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
ncbitaxon	ncbitaxon:5500	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:2037990677	Coccidioides	semapv:SemanticSimilarityThresholdMatching	logmap	0.75
ncit	ncit:C124497	Atresia	skos:exactMatch	pato	pato:0001819	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
icd11	icd11:1065383727	Chlamydia	skos:exactMatch	ncbitaxon	ncbitaxon:810	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.58
ncbitaxon	ncbitaxon:10279	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:2141267994	Molluscum contagiosum virus	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
icd11	icd11:850910350	Naegleria	skos:exactMatch	ncbitaxon	ncbitaxon:5761	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
cl	cl:0000019	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:67650550	Male gamete	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
ncbitaxon	ncbitaxon:115425	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:636776306	New World screwworm	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
mesh	mesh:D009617	Nocardia Infections	skos:exactMatch	ncbitaxon	ncbitaxon:1824	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.66
ncbitaxon	ncbitaxon:1392	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:350521315	Bacillus anthracis	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
icd11	icd11:33540411	Treponema pallidum pertenue	skos:exactMatch	ncbitaxon	ncbitaxon:53436	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.62
ncbitaxon	ncbitaxon:6247	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:2086938629	Strongyloides	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
ncbitaxon	ncbitaxon:662	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1414907878	Vibrio	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
icd11	icd11:35921102	Poliovirus	skos:exactMatch	ncbitaxon	ncbitaxon:12083	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.66
icd11	icd11:1653321111	Plus disease	skos:exactMatch	ogms	ogms:0000063	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
ncbitaxon	ncbitaxon:37124	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1137729397	Chikungunya virus	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
ncbigene	ncbigene:395866	NO_NAME_FOUND	skos:exactMatch	mondo	mondo:0008898	camptodactyly syndrome, Guadalajara type 1	semapv:SemanticSimilarityThresholdMatching	logmap	0.53
ncbitaxon	ncbitaxon:121222	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1724313167	Pediculus	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
efo	efo:0000764	HIV infection	skos:exactMatch	ncbitaxon	ncbitaxon:12721	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.67
mondo	mondo:0007586	exostoses, multiple, type 2	skos:exactMatch	ncbigene	ncbigene:475989	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.52
icd11	icd11:504387587	Juvenile systemic arthritis	skos:exactMatch	ogms	ogms:0000031	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.72
pato	pato:0000956	NO_NAME_FOUND	skos:exactMatch	efo	efo:0000545	infertility	semapv:SemanticSimilarityThresholdMatching	logmap	0.51
icd11	icd11:1659193299	Mansonella perstans	skos:exactMatch	ncbitaxon	ncbitaxon:42231	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.84
nbo	nbo:0000034	NO_NAME_FOUND	skos:exactMatch	mesh	mesh:D012725	Sexual Behavior	semapv:SemanticSimilarityThresholdMatching	logmap	0.54
mesh	mesh:D057567	Memory, Long-Term	skos:exactMatch	nbo	nbo:0000181	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.89
icd11	icd11:2078422340	Carbon dioxide snow	skos:exactMatch	envo	envo:01001138	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.57
foodon	foodon:00003004	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:684910879	Animals	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
pato	pato:0001819	NO_NAME_FOUND	skos:exactMatch	ncit	ncit:C124497	Atresia	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
ncbitaxon	ncbitaxon:63419	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1246917808	Trichophyton concentricum	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
doid	doid:0060432	chromosome 17p13.3 duplication syndrome	skos:exactMatch	chr	chr:9606-chr17p13.1	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.55
